Time,Projectid,Projectname,Projectwithhours
2024-09-25 10:09:36,entry.114962959,,25.9.2024
2024-09-25 10:55:35,entry.1174823241,,2.9.2024
2024-09-25 10:56:18,entry.1174823241,,3.9.2024
2024-09-25 10:56:42,entry.1174823241,,25.9.2024
2024-09-25 10:57:03,entry.1174823241,,4.9.2024
2024-09-25 10:57:19,entry.1174823241,,5.9.2024
2024-09-25 10:57:43,entry.1174823241,,6.9.2024
2024-09-25 10:57:56,entry.1174823241,,7.9.2024
2024-09-25 10:58:13,entry.1174823241,,8.9.2024
2024-09-25 10:58:33,entry.1174823241,,9.9.2024
2024-09-25 10:58:47,entry.1174823241,,10.9.2024
2024-09-25 10:59:03,entry.1174823241,,11.9.2024
2024-09-25 10:59:20,entry.1174823241,,12.9.2024
2024-09-25 11:00:17,entry.1174823241,,16.9.2024
2024-09-25 11:00:32,entry.1174823241,,17.9.2024
2024-09-25 11:00:55,entry.1174823241,,18.9.2024
2024-09-25 11:01:09,entry.1174823241,,19.9.2024
2024-09-25 11:01:27,entry.1174823241,,20.9.2024
2024-09-25 11:01:43,entry.1174823241,,21.9.2024
2024-09-25 11:01:56,entry.1174823241,,22.9.2024
2024-09-25 11:02:08,entry.1174823241,,23.9.2024
